course,discounted_price,original_price,category,summary,difficulty,total_materials,course_link
PPN (Pajak Pertambahan Nilai) dan e-Faktur,$149.00,"$1,000.00",Pajak & Regulasi,Pahami kebijakan dan praktek penerapan Pajak Pertambahan Nilai secara lengkap untuk kegiatan usaha Anda,Intermediate,61 Materi Pembelajaran,https://univ.mekari.com/courses/pajak-pertambahan-nilai
Tata Cara dan Ketentuan Umum Perpajakan (KUP),$149.00,"$1,000.00",Pajak & Regulasi,Pahami ketentuan umum dan tata cara pajak yang tepat bagi perorangan dan perusahaan secara menyeluruh,Basic,76 Materi Pembelajaran,https://univ.mekari.com/courses/tata-cara-dan-ketentuan-umum-perpajakan
Tax Administration for Corporate,$149.00,"$1,500.00",Pajak & Regulasi,"Pahami tata cara perhitungan, administrasi pembayaran dan pelaporan pajak untuk menjadi perusahaan yang lebih bijak",Basic,74 Materi Pembelajaran,https://univ.mekari.com/courses/tax-administration-for-corporate
Add-Ons Integration with Mekari Jurnal Software,$49.00,$500.00,Software Mekari,Kembangkan bisnis tanpa batas dengan integrasi Add Ons Mekari Jurnal Software,Intermediate,46 Materi Pembelajaran,https://univ.mekari.com/courses/add-ons-integration-with-mekari-jurnal-software
Basic Concept of Mekari Flex,$49.00,$350.00,Software Mekari,Tingkatkan motivasi dan bebaskan karyawan dari stres untuk produktivitas maksimal,Basic,30 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-mekari-flex
Klikpajak Software for Simple Tax Management Processing,$200.00,"$1,500.00",Software Mekari,Kuasai penggunaan Application Service Provider (ASP) untuk pengelolaan pajak yang lebih mudah dan akurat dalam 7 hari dengan Klikpajak,Intermediate,61 Materi Pembelajaran,https://univ.mekari.com/courses/klikpajak-software-for-simple-tax-management-processing
[English Version] Mekari Talenta for HR Solutions,$49.00,$350.00,Software Mekari,"Learn about Talenta, a cloud-based HRIS software for superior HR administration management and payroll automation solutions",Intermediate,57 Materi Pembelajaran,https://univ.mekari.com/courses/english-version-mekari-talenta-for-HR-solutions
Basic Concept of Project Management,Gratis,$350.00,Bisnis & Wirausaha,Pahami cara tepat mengelola proyek untuk mencapai target penyelesaian proyek  secara efektif dan efisien,Basic,17 Materi Pembelajaran,https://univ.mekari.com/courses/basic-conceptof-project-management
Accounting 101: Concept & Walkthrough,$149.00,"$1,000.00",Akuntansi & Keuangan,Kuasai konsep dasar akuntansi serta aplikasinya secara lengkap untuk pengelolaan keuangan yang tepat,Basic,68 Materi Pembelajaran,https://univ.mekari.com/courses/accounting-101-concept-walkthrough
Comprehensive HR Administration,$149.00,"$1,500.00",HR & Payroll,"Pelajari tugas dan alur kerja administrasi HR di berbagai posisi serta penerapan teknologi HR, jadilah admin HR terpercaya",Intermediate,61 Materi Pembelajaran,https://univ.mekari.com/courses/comprehensive-hr-administration
